county_name,year,hh1_ELI30,hh1_VLI50,hh1_LI80,hh1_MED100,hh1_MOD120,hh2_ELI30,hh2_VLI50,hh2_LI80,hh2_MED100,hh2_MOD120,hh3_ELI30,hh3_VLI50,hh3_LI80,hh3_MED100,hh3_MOD120,hh4_ELI30,hh4_VLI50,hh4_LI80,hh4_MED100,hh4_MOD120,hh5_ELI30,hh5_VLI50,hh5_LI80,hh5_MED100,hh5_MOD120,hh6_ELI30,hh6_VLI50,hh6_LI80,hh6_MED100,hh6_MOD120,hh7_ELI30,hh7_VLI50,hh7_LI80,hh7_MED100,hh7_MOD120,hh8_ELI30,hh8_VLI50,hh8_LI80,hh8_MED100,hh8_MOD120,hh9_ELI30,hh9_VLI50,hh9_LI80,hh9_MED100,hh9_MOD120,hh10_ELI30,hh10_VLI50,hh10_LI80,hh10_MED100,hh10_MOD120,hh11_ELI30,hh11_VLI50,hh11_LI80,hh11_MED100,hh11_MOD120,hh12_ELI30,hh12_VLI50,hh12_LI80,hh12_MED100,hh12_MOD120,hh13_ELI30,hh13_VLI50,hh13_LI80,hh13_MED100,hh13_MOD120,hh14_ELI30,hh14_VLI50,hh14_LI80,hh14_MED100,hh14_MOD120,hh15_ELI30,hh15_VLI50,hh15_LI80,hh15_MED100,hh15_MOD120,hh16_ELI30,hh16_VLI50,hh16_LI80,hh16_MED100,hh16_MOD120,hh17_ELI30,hh17_VLI50,hh17_LI80,hh17_MED100,hh17_MOD120,hh18_ELI30,hh18_VLI50,hh18_LI80,hh18_MED100,hh18_MOD120,hh19_ELI30,hh19_VLI50,hh19_LI80,hh19_MED100,hh19_MOD120,hh20_ELI30,hh20_VLI50,hh20_LI80,hh20_MED100,hh20_MOD120
Alameda County,2010,19000,31650,45100,63200,75850,21700,36150,51550,72250,86700,24400,40650,58000,81250,97500,27100,45150,64400,90300,108350,29300,48800,69600,97500,117000,31450,52400,74750,104750,125700,33650,56000,79900,111950,134350,35800,59600,85050,119200,143000,37950,63200,90200,126400,151650,40150,66800,95350,133650,160350,42300,70450,100500,140850,169000,44450,74050,105650,148100,177650,46650,77650,110800,155300,186350,48800,81250,115950,162550,195000,51000,84900,121100,169750,203700,53150,88500,126250,177000,212350,55300,92100,131400,184200,221000,57500,95700,136550,191450,229700,59650,99350,141700,198650,238350,61800,102950,146850,205900,247000
Alameda County,2011,19400,32350,45500,64600,77550,22200,36950,52000,73850,88600,24950,41550,58500,83050,99700,27700,46150,64950,92300,110750,29950,49850,70150,99700,119600,32150,53550,75350,107050,128450,34350,57250,80550,114450,137350,36600,60950,85750,121850,146200,38800,64650,90950,129250,155050,41050,68350,96150,136600,163900,43250,72050,101350,144000,172800,45450,75700,106550,151400,181650,47700,79400,111750,158750,190500,49900,83100,116950,166150,199350,52100,86800,122100,173550,208200,54350,90500,127300,180900,217100,56550,94200,132500,188300,225950,58750,97850,137700,195700,234800,61000,101550,142900,203050,243650,63200,105250,148100,210450,252500
Alameda County,2012,19650,32750,45750,65450,78550,22450,37400,52300,74800,89750,25250,42100,58850,84150,101000,28050,46750,65350,93500,112200,30300,50500,70600,101000,121200,32550,54250,75850,108450,130150,34800,58000,81050,115950,139150,37050,61750,86300,123400,148100,39300,65500,91550,130900,157100,41550,69250,96750,138350,166050,43800,72950,102000,145850,175050,46050,76700,107200,153300,184000,48250,80450,112450,160800,193000,50500,84200,117650,168300,201950,52750,87950,122900,175750,210950,55000,91650,128100,183250,219900,57250,95400,133350,190700,228900,59500,99150,138600,198200,237850,61750,102900,143800,205700,246850,64000,106650,149050,213150,255800
Alameda County,2013,19650,32750,46350,65450,78550,22450,37400,53000,74800,89750,25250,42100,59600,84150,101000,28050,46750,66250,93500,112200,30300,50500,71550,101000,121200,32550,54250,76850,108450,130150,34800,58000,82150,115950,139150,37050,61750,87450,123400,148100,39300,65500,92750,130900,157100,41550,69250,98050,138350,166050,43800,72950,103350,145850,175050,46050,76700,108650,153300,184000,48250,80450,113950,160800,193000,50500,84200,119250,168300,201950,52750,87950,124550,175750,210950,55000,91650,129850,183250,219900,57250,95400,135150,190700,228900,59500,99150,140450,198200,237850,61750,102900,145750,205700,246850,64000,106650,151050,213150,255800
Alameda County,2014,19650,32750,47350,65450,78550,22450,37400,54100,74800,89750,25250,42100,60850,84150,101000,28050,46750,67600,93500,112200,30300,50500,73050,101000,121200,32550,54250,78450,108450,130150,34800,58000,83850,115950,139150,37050,61750,89250,123400,148100,39300,65500,94650,130900,157100,41550,69250,100050,138350,166050,43800,72950,105450,145850,175050,46050,76700,110900,153300,184000,48250,80450,116300,160800,193000,50500,84200,121700,168300,201950,52750,87950,127100,175750,210950,55000,91650,132500,183250,219900,57250,95400,137900,190700,228900,59500,99150,143350,198200,237850,61750,102900,148750,205700,246850,64000,106650,154150,213150,255800
Alameda County,2015,19650,32750,50150,65450,78550,22450,37400,57300,74800,89750,25250,42100,64450,84150,101000,28050,46750,71600,93500,112200,30300,50500,77350,101000,121200,32570,54250,83100,108450,130150,36730,58000,88800,115950,139150,40890,61750,94550,123400,148100,43150,65500,100300,130900,157100,45400,69250,106000,138350,166050,47600,72950,111750,145850,175050,49850,76700,117450,153300,184000,52100,80450,123200,160800,193000,54350,84200,128900,168300,201950,56600,87950,134650,175750,210950,58850,91650,140350,183250,219900,61100,95400,146100,190700,228900,63350,99150,151850,198200,237850,65550,102900,157550,205700,246850,67800,106650,163300,213150,255800
Alameda County,2016,20500,34150,52650,65500,78600,23400,39000,60150,74900,89850,26350,43900,67650,84250,101050,29250,48750,75150,93600,112300,31600,52650,81200,101100,121300,33950,56550,87200,108600,130250,36730,60450,93200,116050,139250,40890,64350,99200,123550,148250,43250,68250,105200,131050,157250,45550,72150,111200,138550,166200,47900,76050,117250,146000,175200,50250,79950,123250,153500,184200,52600,83850,129250,161000,193150,54950,87750,135250,168500,202150,57250,91650,141300,175950,211150,59600,95550,147300,183450,220100,61950,99450,153300,190950,229100,64300,103350,159300,198450,238100,66650,107250,165350,205900,247050,68950,111150,171350,213400,256050
Alameda County,2017,21950,36550,56300,68200,81850,25050,41750,64350,77900,93500,28200,46950,72400,87650,105200,31300,52150,80400,97400,116900,33850,56350,86850,105200,126250,36350,60500,93300,113000,135600,38850,64700,99700,120800,144950,41350,68850,106150,128550,154300,43850,73000,112600,136350,163650,46350,77200,119000,144150,173000,48850,81350,125450,151950,182350,51350,85550,131900,159700,191700,53850,89700,138300,167500,201050,56350,93900,144750,175300,210400,58900,98050,151150,183100,219750,61400,102250,157600,190900,229100,63900,106400,164050,198700,238450,66400,110550,170450,206450,247800,68900,114750,176900,214250,257150,71400,118900,183350,222050,266500
Alameda County,2018,24400,40700,62750,73100,87700,27900,46500,71700,83500,100250,31400,52300,80650,93950,112750,34850,58100,89600,104400,125300,37650,62750,96800,112750,135300,40450,67400,103950,121100,145350,43250,72050,111150,129450,155350,46050,76700,118300,137800,165400,48850,81350,125450,146150,175400,51650,86000,132650,154500,185450,54400,90650,139800,162850,195450,57200,95300,146950,171200,205500,60000,99950,154150,179550,215500,62800,104600,161300,187900,225550,65550,109250,168500,196250,235550,68350,113900,175650,204600,245600,71150,118550,182800,212950,255600,73950,123200,190000,221300,265650,76700,127850,197150,229650,275650,79500,132500,204300,238000,285700
Alameda County,2019,26050,43400,69000,78200,93850,29750,49600,78850,89350,107250,33450,55800,88700,100550,120650,37150,61950,98550,111700,134050,40150,66950,106450,120650,144750,43100,71900,114350,129550,155500,46100,76850,122250,138500,166200,49050,81800,130100,147450,176950,52000,86750,138000,156400,187650,55000,91700,145850,165300,198400,57950,96650,153750,174250,209100,60950,101600,161650,183200,219850,63900,106600,169500,192150,230550,66900,111550,177400,201050,241300,69850,116500,185300,210000,252000,72850,121450,193150,218950,262750,75800,126400,201050,227850,273450,78750,131350,208950,236800,284200,81750,136300,216800,245750,294900,84700,141250,224700,254700,305650
